,Title,Rating,Price,Link,Company,4k,Refresh_Rate,OS_name,Value_Audio,source,alexa,screen_size
18,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.3,38990,https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/j/r/b/43up7500ptz-43up7500ptz-lg-original-imag4q3zcqt5n3yv.jpeg?q=70,lg,1.0,60.0, WebOS,20.0,flipkart,,
19,Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,17499,https://rukminim1.flixcart.com/image/312/312/kf5pzm80/television/f/h/e/mi-l32m6-ei-original-imafvzefsh27shv6.jpeg?q=70,mi,0.0,60.0, Android,20.0,flipkart,,
20,OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,4.3,29499,https://rukminim1.flixcart.com/image/312/312/kqidx8w0/television/o/h/9/43fa0a00-oneplus-original-imag4gy9perzvrdv.jpeg?q=70,oneplus,0.0,60.0, Android,20.0,flipkart,,
21,LG 108 cm (43 inch) Full HD LED Smart TV,4.4,33990,https://rukminim1.flixcart.com/image/312/312/ked56kw0/television/r/m/a/lg-43lm5650pta-43lm5650pta-original-imafvfq5jpcjzh2m.jpeg?q=70,lg,0.0,60.0, WebOS,20.0,flipkart,,
22,SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,4.4,32990,https://rukminim1.flixcart.com/image/312/312/kfoapow0/television/v/h/k/samsung-ua43te50fakxxl-original-imafw2r7knjww635.jpeg?q=70,samsung,0.0,50.0, Tizen,20.0,flipkart,,
23,Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,14499,https://rukminim1.flixcart.com/image/312/312/kiyw9e80-0/television/p/0/w/32path0011-thomson-original-imafynyvsmeuwtzr.jpeg?q=70,thomson,0.0,60.0, Android,20.0,flipkart,,
24,Mi 4A Horizon Edition 108 cm (43 inch) Full HD LED Smart Android TV,4.3,27999,https://rukminim1.flixcart.com/image/312/312/kr2e3680/television/9/l/o/l43m6-ei-mi-original-imag4xqrfhrewu2c.jpeg?q=70,mi,0.0,60.0, Android,24.0,flipkart,,
25,Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,3.9,47999,https://rukminim1.flixcart.com/image/312/312/ksoz53k0/television/f/y/6/l55m6-es-mi-original-imag67749wqtwgyp.jpeg?q=70,mi,0.0,60.0, Android,20.0,flipkart,,
26,TOSHIBA U50 Series 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,4.3,34990,https://rukminim1.flixcart.com/image/312/312/kex5ci80/television/2/f/s/toshiba-50u5050-original-imafvhn4ybagp54e.jpeg?q=70,toshiba,1.0,60.0, Android,40.0,flipkart,,
27,SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,4.3,129990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, VIDAA,30.0,flipkart,,
28,SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,4.3,129990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,120.0, Tizen,40.0,flipkart,,
29,Hisense A6GE Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.3,31999,https://rukminim1.flixcart.com/image/312/312/ksgehzk0/television/b/z/n/43a6ge-43a6ge-hisense-original-imag6ynupxfyvtge.jpeg?q=70,hisense,1.0,60.0, Android,24.0,flipkart,,
30,iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,4.3,36999,https://rukminim1.flixcart.com/image/312/312/kn97te80/television/p/r/s/55k71-55k71-iffalcon-original-imagfyzkdreg6swh.jpeg?q=70,iffalcon,1.0,60.0, Android,30.0,flipkart,,
31,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV with Voice Search,4.3,19240,https://rukminim1.flixcart.com/image/312/312/kk76wsw0/television/s/u/h/ua32te40fakbxl-samsung-original-imafzhzw3wzyzcgg.jpeg?q=70,samsung,0.0,60.0, Tizen,20.0,flipkart,,
32,SAMSUNG The Frame 2021 Series 138 cm (55 inch) QLED Ultra HD (4K) Smart TV,4.3,93990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,120.0, Tizen,40.0,flipkart,,
33,SONY BRAVIA X7400H 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV,4.6,69999,https://rukminim1.flixcart.com/image/312/312/kd4uj680/television/g/8/8/sony-kd-55x7400h-original-imafu3nnwz2guq8u.jpeg?q=70,sony,1.0,50.0, Android,20.0,flipkart,,
34,KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,13990,https://rukminim1.flixcart.com/image/312/312/kjiwfbk0-0/television/b/m/a/32hdx7xpro-32hdx7xpro-kodak-original-imafz2zfmh77hczv.jpeg?q=70,kodak,0.0,60.0, Android,24.0,flipkart,,
35,TCL S65A Series 79.97 cm (32 inch) HD Ready LED Smart Android TV,4.2,16499,https://rukminim1.flixcart.com/image/312/312/kr3tj0w0/television/s/t/f/led-32s65a-32s65a-tcl-original-imag4z2pm9qrmytd.jpeg?q=70,tcl,0.0,60.0, Android,20.0,flipkart,,
36,SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV,4.3,77990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
37,Hisense A71F 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.3,35999,https://rukminim1.flixcart.com/image/312/312/kdeum4w0/television/u/q/f/hisense-55a71f-original-imafubwm6hwa3b9c.jpeg?q=70,hisense,1.0,60.0, Android,30.0,flipkart,,
38,OnePlus Y Series 100 cm (40 inch) Full HD LED Smart Android TV,4.3,26499,https://rukminim1.flixcart.com/image/312/312/kph8h3k0/television/k/9/h/40y1-40fa1a00-oneplus-original-imag3p45tdgyvpqa.jpeg?q=70,oneplus,0.0,60.0, Android,20.0,flipkart,,
39,TCL P715 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,4.3,34999,https://rukminim1.flixcart.com/image/312/312/kn97te80/television/0/6/p/55p715-55p715-tcl-original-imagfz6mhzzqevmc.jpeg?q=70,tcl,1.0,60.0, Android,30.0,flipkart,,
40,SAMSUNG The Frame 2021 Series 108 cm (43 inch) QLED Ultra HD (4K) Smart TV,4.3,63990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
41,iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,4.2,14999,https://rukminim1.flixcart.com/image/312/312/k7xnukw0/television/9/z/p/iffalcon-1080p-wide-angle-12mp-waterproof-under-water-portable-original-imafq2fncukhwrc4.jpeg?q=70,iffalcon,0.0,60.0, Android,16.0,flipkart,,
42,Vu Premium 108 cm (43 inch) Full HD LED Smart Android TV,4.3,26999,https://rukminim1.flixcart.com/image/312/312/k7xnukw0/television/g/u/q/vu-43us-43us-original-imafq2fhnucmhcpg.jpeg?q=70,vu,0.0,60.0, Android,24.0,flipkart,,
43,SONY Bravia X7002G 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.5,44999,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/television/b/h/t/sony-kd-43x7002g-kd-43x7002g-original-imaftyujugrkzct2.jpeg?q=70,sony,1.0,60.0, Linux based,24.0,flipkart,,
44,iFFALCON by TCL 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.3,28999,https://rukminim1.flixcart.com/image/312/312/kgmla4w0/television/q/k/g/iffalcon-55k61-55k61-original-imafwtehtv9gn4qk.jpeg?q=70,iffalcon,1.0,50.0, Android,20.0,flipkart,,
45,TCL P615 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Audio,4.2,33999,https://rukminim1.flixcart.com/image/312/312/kmuxevk0/television/r/z/d/50p615-tcl-original-imagfz6wb88de7te.jpeg?q=70,tcl,1.0,60.0, Android,24.0,flipkart,,
46,TCL P615 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Audio,4.2,33999,https://rukminim1.flixcart.com/image/312/312/kmuxevk0/television/r/z/d/50p615-tcl-original-imagfz6wb88de7te.jpeg?q=70,tcl,1.0,60.0, Android,24.0,flipkart,,
47,realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,4.2,30999,https://rukminim1.flixcart.com/image/312/312/kosxzm80/television/a/7/8/rmv2004-realme-original-imag36hwea8zmnvy.jpeg?q=70,realme,1.0,60.0, Android,24.0,flipkart,,
48,TOSHIBA U50 Series 139 cm (55 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,4.3,39990,https://rukminim1.flixcart.com/image/312/312/kex5ci80/television/2/f/s/toshiba-50u5050-original-imafvhn4ybagp54e.jpeg?q=70,toshiba,1.0,60.0, Android,24.0,flipkart,,
49,Thomson R9 60 cm (24 inch) HD Ready LED TV,4.2,9999,https://rukminim1.flixcart.com/image/312/312/kikluvk0/television/h/8/t/thomson-24tm2490-original-imafybphgnhfwuvp.jpeg?q=70,thomson,1.0,60.0, VIDAA,30.0,flipkart,,
50,Thomson R9 60 cm (24 inch) HD Ready LED TV,4.2,9999,https://rukminim1.flixcart.com/image/312/312/kikluvk0/television/h/8/t/thomson-24tm2490-original-imafybphgnhfwuvp.jpeg?q=70,thomson,0.0,60.0, Android,20.0,flipkart,,
51,Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.4,32999,https://rukminim1.flixcart.com/image/312/312/k7dnonk0/television/x/z/a/vu-50pm-50pm-original-imafpmrtnctj6qgz.jpeg?q=70,vu,1.0,60.0, Android,102.0,flipkart,,
52,Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.4,32999,https://rukminim1.flixcart.com/image/312/312/k7dnonk0/television/x/z/a/vu-50pm-50pm-original-imafpmrtnctj6qgz.jpeg?q=70,vu,1.0,60.0, Android,24.0,flipkart,,
53,SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,4.3,129990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,120.0, Tizen,40.0,flipkart,,
54,Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV,4.4,59999,https://rukminim1.flixcart.com/image/312/312/kkoc70w0/television/o/x/j/l55m6-eqg-mi-original-imafzyrjdtba6bqf.jpeg?q=70,mi,1.0,60.0, Android,30.0,flipkart,,
55,realme 108 cm (43 inch) Full HD LED Smart Android TV,4.3,26999,https://rukminim1.flixcart.com/image/312/312/kae95e80/television/r/g/m/realme-tv-43-original-imafrz78gbgx3zz5.jpeg?q=70,realme,0.0,60.0, Android,24.0,flipkart,,
56,HUIDI 80 cm (32 inch) HD Ready LED TV,4.0,11199,https://rukminim1.flixcart.com/image/312/312/kltryq80/television/m/e/w/hd32d1m19-huidi-original-imagyv5yzcfhee2g.jpeg?q=70,huidi,0.0,60.0, Tizen,20.0,flipkart,,
57,SONY BRAVIA 80 cm (32 inch) HD Ready LED Smart TV,4.5,26499,https://rukminim1.flixcart.com/image/312/312/kbpeoi80/television/h/w/n/sony-kdl-32w6100-kdl-32w6103-original-imafszz3rmvj6xdg.jpeg?q=70,sony,1.0,120.0, Tizen,40.0,flipkart,,
58,LG 126 cm (50 inch) Ultra HD (4K) LED Smart TV,4.3,50990,https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/9/u/x/50up7500ptz-50up7500ptz-lg-original-imag4q3z3jjxt7ek.jpeg?q=70,lg,0.0,50.0, Linux based,20.0,flipkart,,
59,LG 126 cm (50 inch) Ultra HD (4K) LED Smart TV,4.3,50990,https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/9/u/x/50up7500ptz-50up7500ptz-lg-original-imag4q3z3jjxt7ek.jpeg?q=70,lg,1.0,60.0, WebOS,20.0,flipkart,,
60,TCL P715 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,4.3,41999,https://rukminim1.flixcart.com/image/312/312/kn97te80/television/0/6/p/55p715-55p715-tcl-original-imagfz6mhzzqevmc.jpeg?q=70,tcl,1.0,60.0, Android,30.0,flipkart,,
61,SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV,4.3,77990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
62,OnePlus U1S 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,46999,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/q/u/v/u-series-50-u1s-50uc1a00-oneplus-original-imag3tpydevtfnd9.jpeg?q=70,oneplus,1.0,60.0, Android,30.0,flipkart,,
63,OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,4.3,52999,https://rukminim1.flixcart.com/image/312/312/kpodocw0/television/e/s/k/u-series-55-u1s-55uc1a00-oneplus-original-imag3ur8wxgpv2wj.jpeg?q=70,oneplus,1.0,60.0, Android,30.0,flipkart,,
64,MOTOROLA ZX Pro 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,4.3,46999,https://rukminim1.flixcart.com/image/312/312/kingqkw0/television/w/b/y/motorola-43sauhdmq-original-imafydykpnw3hzgv.jpeg?q=70,motorola,1.0,60.0, Android,50.0,flipkart,,
65,SAMSUNG The Frame 2021 Series 108 cm (43 inch) QLED Ultra HD (4K) Smart TV,4.3,63990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
66,KODAK 7X Pro 102 cm (40 inch) Full HD LED Smart Android TV,4.4,20999,https://rukminim1.flixcart.com/image/312/312/kjiwfbk0-0/television/t/3/l/40fhdx7xpro-kodak-original-imafz2zfvujgdwag.jpeg?q=70,kodak,0.0,60.0, Android,24.0,flipkart,,
67,TOSHIBA U50 Series 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,4.3,28990,https://rukminim1.flixcart.com/image/312/312/kerfl3k0/television/n/q/y/toshiba-43u5050-original-imafvcny5pzdvwwc.jpeg?q=70,toshiba,1.0,60.0, VIDAA,24.0,flipkart,,
68,Sansui 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.6,36999,https://rukminim1.flixcart.com/image/312/312/khmbafk0/television/g/f/f/sansui-jsw50asuhd-original-imafxkn5bvvcnvs4.jpeg?q=70,sansui,1.0,60.0, Android,20.0,flipkart,,
69,Thomson 9A Series 106 cm (42 inch) Full HD LED Smart Android TV,4.4,22999,https://rukminim1.flixcart.com/image/312/312/kjym9ow0/television/q/o/q/42path2121-42path2121-thomson-original-imafzff3gychx9ub.jpeg?q=70,thomson,0.0,60.0, Android,30.0,flipkart,,
70,LG 139 cm (55 inch) Ultra HD (4K) LED Smart TV,4.3,54990,https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/m/m/i/55up7500ptz-55up7500ptz-lg-original-imag4q3zjqgshdhy.jpeg?q=70,lg,1.0,60.0, WebOS,20.0,flipkart,,
71,realme 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,4.2,39999,https://rukminim1.flixcart.com/image/312/312/kosxzm80/television/5/p/e/rmv2005-realme-original-imag36hxruzv9wex.jpeg?q=70,realme,1.0,60.0, Android,24.0,flipkart,,
72,SAMSUNG Crystal 4K Pro 125 cm (50 inch) Ultra HD (4K) LED Smart TV with Voice Search,4.3,54990,https://rukminim1.flixcart.com/image/312/312/ko1smfk0/television/1/r/d/ua43aue60aklxl-ua43aue60aklxl-samsung-original-imag2hg7b55y8xhs.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
73,Thomson R9 80 cm (32 inch) HD Ready LED TV,4.2,12999,https://rukminim1.flixcart.com/image/312/312/k0tw13k0/television/h/a/m/thomson-32tm3290-original-imafkjazamdewz2x.jpeg?q=70,thomson,0.0,60.0, Android,20.0,flipkart,,
74,Nokia 107.9 cm (43 inch) Full HD LED Smart Android TV with Sound by Onkyo,4.3,29999,https://rukminim1.flixcart.com/image/312/312/kfwvcsw0/television/g/m/2/nokia-43tafhdn-original-imafw8xwyhzmdgpr.jpeg?q=70,nokia,0.0,60.0, Android,39.0,flipkart,,
75,OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,4.3,68999,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/d/k/s/u-series-65-u1s-65uc1a00-oneplus-original-imag3tpyp525ghjy.jpeg?q=70,oneplus,1.0,60.0, Android,30.0,flipkart,,
76,Thomson OATHPRO Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,4.4,29999,https://rukminim1.flixcart.com/image/312/312/kjrh2fk0/television/k/w/3/55-oathpro-0101-thomson-original-imafz9g9gjyhtf5h.jpeg?q=70,thomson,1.0,60.0, Android,30.0,flipkart,,
77,SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,4.3,129990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,40.0,flipkart,,
78,Vu cinema TV 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.2,40999,https://rukminim1.flixcart.com/image/312/312/k5vcya80/television/z/k/e/vu-50ca-original-imafzgkftuszcbza.jpeg?q=70,vu,1.0,120.0, Android,40.0,flipkart,,
79,MOTOROLA ZX 80.5 cm (32 inch) HD Ready LED Smart Android TV with Wireless Gamepad,4.3,17999,https://rukminim1.flixcart.com/image/312/312/k3hmj680/television/z/a/n/motorola-32safhdm-original-imafm59fzeshmauz.jpeg?q=70,motorola,0.0,60.0, Android,40.0,flipkart,,
80,KODAK 7X Pro 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,4.4,34999,https://rukminim1.flixcart.com/image/312/312/kjiwfbk0-0/television/5/z/a/55uhdx7xpro-kodak-original-imafz2zf4zqgsna9.jpeg?q=70,kodak,1.0,60.0, Android,20.0,flipkart,,
81,SAMSUNG The Frame 2021 Series 138 cm (55 inch) QLED Ultra HD (4K) Smart TV,4.3,93990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,24.0,flipkart,,
82,Hisense A71F 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.3,31999,https://rukminim1.flixcart.com/image/312/312/kdeum4w0/television/u/q/f/hisense-55a71f-original-imafubwm6hwa3b9c.jpeg?q=70,hisense,1.0,120.0, Tizen,40.0,flipkart,,
83,SAMSUNG The Frame 2020 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV,4.6,72990,https://rukminim1.flixcart.com/image/312/312/kbjox3k0/television/e/d/a/samsung-qa65ls03takxxl-original-imafsvh9sj8cxz7v.jpeg?q=70,samsung,1.0,60.0, Android,24.0,flipkart,,
84,Sansui 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.0,30499,https://rukminim1.flixcart.com/image/312/312/khmbafk0/television/g/4/y/sansui-jsw43asuhd-original-imafxkn5tumeg9ar.jpeg?q=70,sansui,1.0,60.0, Tizen,20.0,flipkart,,
85,SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV,4.3,77990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Android,20.0,flipkart,,
86,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,4.5,20790,https://rukminim1.flixcart.com/image/312/312/kf5pzm80/television/k/d/k/samsung-ua32t4350akxxl-original-imafvz8ravzkynfq.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
87,Blaupunkt Cybersound 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,4.6,36999,https://rukminim1.flixcart.com/image/312/312/krxtrww0/television/3/2/j/50csa7007-50csa7007-blaupunkt-original-imag5m2fhxemhz38.jpeg?q=70,blaupunkt,0.0,60.0, Tizen,20.0,flipkart,,
88,TCL P615 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio,4.2,40999,https://rukminim1.flixcart.com/image/312/312/kmuxevk0/television/p/q/3/55p615-tcl-original-imagfz6wrm54vt4p.jpeg?q=70,tcl,1.0,60.0, Android,60.0,flipkart,,
89,TCL P615 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio,4.2,40999,https://rukminim1.flixcart.com/image/312/312/kmuxevk0/television/p/q/3/55p615-tcl-original-imagfz6wrm54vt4p.jpeg?q=70,tcl,1.0,60.0, Android,24.0,flipkart,,
90,SAMSUNG The Frame 2021 Series 108 cm (43 inch) QLED Ultra HD (4K) Smart TV,4.3,63990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
